	4.02067867206e-08
2015-06-15	0.0021531193795
2015-06-16	0.00230050597197
2015-06-17	0.00244539399983
2015-06-18	0.0024663187604
2015-06-19	0.00250604880951
2015-06-20	0.00237717457042
2015-06-21	0.00210314808744
2015-06-22	0.00215306768506
2015-06-23	0.00233279202171
2015-06-24	0.00236283797904
2015-06-25	0.00241090806448
2015-06-26	0.00244557205846
2015-06-27	0.00256094830486
2015-06-28	0.00200133875963
2015-06-29	0.00206667478805
2015-06-30	0.00214956969462
tpep_pickup_datetime	3.44629600463e-08
